URL,SIZE,No of Outlinks,Content-Type
http://www.nydailynews.com/autos/news/toyota-announces-first-ever-hybrid-production-u-s-article-1.3527628,84636,104,text/html
http://www.nydailynews.com/entertainment/tv/bill-maher-takes-knee-support-nfl-national-anthem-protests-article-1.3532551,90239,112,text/html
http://www.nydailynews.com/sports/baseball,123233,162,text/html
http://www.nydailynews.com/autos/news,99365,287,text/html
http://www.nydailynews.com/autos/acura,44292,141,text/html
http://www.nydailynews.com/authors?author=Thomas-Tracy,107243,159,text/html
http://www.nydailynews.com/autos/news/2019-porsche-cayenne-turbo-preview-article-1.3492783,91103,116,text/html
http://www.nydailynews.com/autos/news/2018-nissan-armada-platinum-reserve-preview-article-1.3530080,86124,111,text/html
http://www.nydailynews.com/autos/news/ford-partners-lyft-jaguar-focused-sports-cars-article-1.3525580,92535,117,text/html
http://www.nydailynews.com/news/memoriam-remembering-famous-figures-lost-gallery-1.2947761,66883,20,text/html
http://www.nydailynews.com/autos/news/2018-land-rover-discovery-td6-diesel-australian-road-train-video-article-1.3509274,84997,111,text/html
http://www.nydailynews.com/sports/football/giants,121791,159,text/html
http://www.nydailynews.com/tags/forest-whitaker,102945,135,text/html
http://www.nydailynews.com/newswires/news/business/jet-carrying-88-overshoots-runway-german-island-sylt-article-1.3532150,90579,106,text/html
http://www.nydailynews.com/autos/types/wagon,64460,203,text/html
http://www.nydailynews.com/entertainment/stars-paris-fashion-week-gallery-1.3522457?pmSlide=1.3532452,67796,20,text/html
http://www.nydailynews.com/autos/types/van,50885,159,text/html
http://www.nydailynews.com/opinion/hugh-hefner-biographer-reflects-legacy-legend-article-1.3531393,88486,104,text/html
http://www.nydailynews.com/entertainment/stars-paris-fashion-week-gallery-1.3522457?pmSlide=1.3532463,67958,20,text/html
http://www.nydailynews.com/autos/dodge,49880,161,text/html
https://www.nydailynews.com/cmlink/notifications,22376,6,text/html
http://www.nydailynews.com/sports/baseball/mets/mets-play-phillies-mlb-league-classic-season-article-1.3530358,88121,109,text/html
http://www.nydailynews.com/news/national/maria-ravaged-puerto-rico-feels-war-aftermath-army-official-article-1.3532508,96874,118,text/html
http://www.nydailynews.com/autos/lincoln,42488,137,text/html
http://www.nydailynews.com/amp/entertainment/stars-paris-fashion-week-gallery-1.3522457,54330,18,text/html
http://www.nydailynews.com/newswires/news/world/airstrikes-is-held-areas-syria-kill-wound-dozens-article-1.3532190,87465,104,text/html
http://www.nydailynews.com/autos/2018-nissan-armada-platinum-reserve-photos-gallery-1.3527630,27022,20,text/html
http://www.nydailynews.com/entertainment/stars-paris-fashion-week-gallery-1.3522457?pmSlide=1.3522455,68097,20,text/html
http://www.nydailynews.com/entertainment/gossip/stars-makeup-real-face-fame-gallery-1.21019,66955,21,text/html
http://www.nydailynews.com/autos/types/luxury,168328,589,text/html
http://www.nydailynews.com/sports/baseball/mets/robert-gsellman-shines-final-start-season-mets-article-1.3526260,90186,104,text/html
http://www.nydailynews.com/amp/sports/football/britt-mchenry-nfl-apologize-vegas-cops-article-1.3532519,30567,24,text/html
http://www.nydailynews.com/entertainment/movies/reese-witherspoon-stuck-ramshackle-home-movie-review-article-1.3470968,90799,108,text/html
http://www.nydailynews.com/newswires/news/business/tillerson-direct-channels-talk-north-korea-article-1.3531698,94726,106,text/html
http://www.nydailynews.com/autos/infiniti,43807,142,text/html
http://www.nydailynews.com/sports/football/jets,121068,160,text/html
http://www.nydailynews.com/autos/jaguar,40633,133,text/html
http://www.nydailynews.com/news/crime/pennsylvania-woman-charged-shooting-64-year-old-face-article-1.3532650,90320,110,text/html
http://www.nydailynews.com/entertainment/movies/coming-america-finally-sequel-decades-article-1.3527439,86560,105,text/html
http://www.nydailynews.com/sports/football/police-new-videos-show-michael-bennett-wasn-mistreated-article-1.3531139,90970,106,text/html
